0   0   1    416.663   0.231575
0   0   2    417.3   0.204673
0   0   3    418.66   0.209435
0   0   5    420.749   0.250837
0   0   6    423.33   0.172957
0   1   1    422.661   0.262081
0   1   2    423.705   0.217174
0   1   3    419.528   0.432426
0   1   4    417.417   0.292172
0   1   5    421.368   0.283371
0   1   6    418.493   0.261878
0   2   1    430.846   0.16989
0   2   2    427.192   0.159362
0   2   3    432.769   0.15041
0   2   4    430.717   0.149415
0   2   5    425.076   0.161553
0   2   6    426.957   0.17079
1   1   1    433.895   0.154343
1   1   2    430.469   0.190405
1   1   3    432.713   0.190436
1   1   4    430.4   0.162639
1   1   5    427.205   0.160218
1   1   6    427.558   0.157895
1   2   1    415.407   0.228848
1   2   2    413.706   0.219906
1   2   3    418.18   0.168769
1   2   4    420.443   0.161783
1   2   5    416.144   0.172568
1   2   6    419.344   0.185763
2   0   1    450.909   0.221562
2   0   2    452.744   0.190089
2   0   3    452.648   0.228379
2   0   4    456.824   0.313603
2   0   5    456.923   0.232101
2   0   6    459.255   0.18733
2   1   1    453.541   0.205996
2   1   2    455.816   0.211005
2   1   3    449.708   0.212761
2   1   4    448.453   0.236339
2   1   6    451.346   0.199366
2   2   1    469.68   0.295808
2   2   2    466.777   0.198663
2   2   3    470.479   0.358622
2   2   4    467.768   0.235022
2   2   5    464.897   0.166921
2   2   6    465.446   0.17362
4   0   1    462.749   0.214264
4   0   2    462.658   0.183457
4   0   3    460.185   0.272328
4   0   4    456.055   0.318226
4   0   5    457.954   0.300989
4   0   6    455.027   0.222418
4   1   1    460.966   0.232123
4   1   2    459.171   0.196456
4   1   3    464.532   0.153086
4   1   4    465.452   0.191262
4   1   5    460.982   0.2011
4   1   6    464.166   0.156282
4   2   1    444.655   0.186759
4   2   2    448.719   0.178071
4   2   3    443.024   0.201549
4   2   4    445.487   0.206215
4   2   5    451.079   0.209379
4   2   6    449.952   0.197819
5   0   2    446.597   0.27372
5   0   3    443.152   0.22409
5   0   4    446.048   0.2306
5   0   5    451.112   0.196441
5   0   6    450.343   0.23693
5   1   1    457.721   0.208129
5   1   2    457.749   0.224667
5   1   3    453.177   0.222134
5   1   4    449.988   0.183785
5   1   5    453.621   0.205723
6   0   1    451.506   0.227576
6   0   2    455.363   0.226366
6   0   3    448.647   0.235714
6   0   4    448.797   0.177044
6   0   6    452.409   0.193919
6   2   1    457.595   0.254912
6   2   2    457.451   0.02085
6   2   4    463.661   0.149518
6   2   5    461.204   0.222338
7   0   1    420.783   0.339185
7   0   2    419.298   0.271101
7   0   3    426.091   0.151606
7   0   4    424.008   0.209972
7   0   5    424.84   0.147703
7   0   6    421.458   0.202278
7   1   1    414.959   0.497905
7   1   2    417.547   0.192802
7   1   3    412.603   0.463125
7   1   4    413.685   0.692085
7   1   5    418.251   0.194421
7   1   6    416.537   0.447438
7   2   1    430.69   0.158287
7   2   3    430.241   0.177099
7   2   4    426.419   0.185712
